sample_id,url
torvalds,https://github.com/torvalds
gvanrossum,https://github.com/gvanrossum
antirez,https://github.com/antirez
mitchellh,https://github.com/mitchellh
fabpot,https://github.com/fabpot
sindresorhus,https://github.com/sindresorhus
tj,https://github.com/tj
mitsuhiko,https://github.com/mitsuhiko
kennethreitz,https://github.com/kennethreitz
yyx990803,https://github.com/yyx990803
addyosmani,https://github.com/addyosmani
JakeWharton,https://github.com/JakeWharton
brendangregg,https://github.com/brendangregg
rauchg,https://github.com/rauchg
jlord,https://github.com/jlord
defunkt,https://github.com/defunkt
mojombo,https://github.com/mojombo
tpope,https://github.com/tpope
mdo,https://github.com/mdo
paulirish,https://github.com/paulirish
